3997,"Talk Number"
2332,"91C","王姑娘，等等我……"
2333,"91D","好，少侠果然明事理。这封*书信就是揭发乔峰的证据，*你拿好，咱们丐帮见。"
2334,"91E","唉，王姑娘走了，……*我也回大理吧……"
2335,"91F","我家公子慕容复，是一个有*着远大理想的男人。"
2336,"920","唉，公子的理想，终究是太*过缥缈啊，但愿公子不要一*直执迷于此。其实大燕亡国*这么久了，复国真的有意义*吗？还不如把握好现在的生*活……"
2337,"921","这里居然有两只叫化鸡，不*知道是那个乞丐藏的，正好*为我享用喽。"
2338,"922","休息时间，请勿施舍。"
2339,"923","阁下武功了得，我们乔帮主*一定会很欣赏你的。"
2340,"924","请问是乔帮主吗？"
2341,"925","很好，年纪轻轻，就破了我*丐帮的打狗阵，现在的年轻*人是越来越厉害了．"
2342,"926","那里，比起乔帮主，统领这*麽多英雄好汉，在下还差的*远了．"
2343,"927","一群叫化子，没什麽．*不知少侠来我丐帮有什麽要*事吗？"
2344,"928","没什麽特别的．*小弟初涉江湖，当然要来丐*帮拜访一下，否则怎麽称的*上是江湖中人．"
2345,"929","不知江湖行的感觉如何？"
2346,"92A","辛酸，甘甜皆有．*有许多事情要去解决，但也*学会了许多武功，随着日子*一天天过去，觉得自己越发*充实．*不过江湖上，人心险恶，但*我等又脱离不了这江湖，真*是所谓”人在江湖，身不由*己”．"
2347,"92B","哈！哈！说的好，说的好，*别提这些恼人的事了，咱们*喝酒．"
2348,"92C","少侠有空来我丐帮，我们再*一起喝酒．"
2349,"92D","好．"
2350,"92E","今日阳光明媚，*一群乞丐开会，*不是英雄好汉，*请退！"
2351,"92F","我就来试试丐帮打狗大阵！"
2352,"930","这位是天台山智光大师、这*两位是冲霄洞谭氏伉俪、这*几位是姑苏慕容公子及其亲*随，这位是……"
2353,"931","我叫""赵钱孙李，周吴郑王""*，我没名字，这个世界上，*我只关心小娟一人。"
2354,"932","唉，师兄……"
2355,"933","你，哼！"
2356,"934","各位同来我丐帮，不知所为*何事？"
2357,"935","我们今天来，是为了武林同*道和丐帮的兄弟们着想，来*澄清一件大事。智光大师，*就请你把雁门关外乱石谷前*的大战，讲述给大家听罢。"
2358,"936","唉，杀孽太重，杀孽太重……"
2359,"937","唉，杀孽太重，杀孽太重……"
2360,"938","此事关系武林安危，关乎我*大宋命运以及丐帮的前途，*还请智光大师不要推辞。"
2361,"939","好，老衲从前做错了事，也*不必隐瞒，照实说来便是。*那是三十年前，中原豪杰接*到讯息，说契丹国有大批武*士来偷袭少林，想将寺中秘*藏数百年的武功图谱，一举*夺去……"
2362,"93A","……最后我们把那个契丹男*婴寄养在少室山下的农家。"
2363,"93B","智光大师，那……那少室山*下的农人，他，他，他姓什*么？"
2364,"93C","你既已猜到，我也不必隐瞒*。那农人姓乔，名字叫做三*槐。"
2365,"93D","不，不！你胡说八道，捏造*了这么一篇鬼话来诬陷我…*…"
2366,"93E","谭氏伉俪，还有这位赵钱孙*，当年都曾参加乱石谷血战*，难道大家都在一起骗你不*成？乔峰，这是汪帮主的亲*笔遗书，你自己看吧！"
2367,"93F","汉人也不是什么都好，契丹*人也不是猪狗不如。明明是*契丹人，却硬要冒充汉人。*嘿嘿，嘿嘿……"
2368,"940","……这丐帮帮主，我是决计*不当了……青山不改，绿水*长流，众位好兄弟，咱们再*见了。乔某是汉人也好，是*契丹人也好，有生之年，决*不伤一条汉人的性命！告辞*了。"
2369,"941","＜这乔帮主，真是英雄啊＞"
2370,"942","＜这回逼走了乔峰，丐帮群*龙无首，应该比较容易控制*，日后复兴大燕，丐帮应是*个有力的帮手。不过此时不*宜太张扬＞，各位丐帮的长*老、兄弟们，我们今日此来*，是为了天下苍生，是为了*千千万万大宋的黎民百姓。*既然此事已真像大白，在下*也当告辞。"
2371,"943","我们也走吧"
2372,"944","小娟……"
2373,"945","阿弥陀佛……"
2374,"946","乔帮主是契丹人？这是真的*么？我再去找这几个证人问*问看。"
2375,"947","想不到乔帮主他……"
2376,"948","智光大师，智光大师……到*底是谁干的呢？难道……不*会吧……"
2377,"949","啊……谭公谭婆竟然被人打*死了？难道……"
2378,"94A","啊，这不是赵钱孙吗，怎么*会死在这里，难道……"
2379,"94B","这位少侠请留步"
2380,"94C","是叫我吗？"
2381,"94D","请接英雄帖。"
2382,"94E","英雄帖？干什么用的？"
2383,"94F","神医薛慕华、聚贤庄游氏兄*弟，撒下英雄帖，遍邀天下*英雄，共同商讨如何对付那*个滥杀无辜的契丹恶贼乔峰*。请少侠务必到聚贤庄来。"
2384,"950","哦……*＜乔帮主，应该不是那样的*人啊＞"
2385,"951","薛神医，请您一定要治好这*位姑娘。"
2386,"952","哼！"
2387,"953","乔大哥……"
2388,"954","各位既已和乔某喝过了这绝*交酒，咱们从前的交情就一*笔勾销。哪一个先来决一死*战！"
2389,"955","尊驾何人？要取乔某性命，*尽管来吧！"
2390,"956","乔兄误会了。我深信乔兄为*人，大丈夫光明磊落，那些*杀人放火的勾当，绝非乔兄*所为。我今日来此，誓要与*乔兄并肩作战！"
2391,"957","哈哈哈……今日，相交多年*的好友都跟乔某喝了这绝交*酒，没想到一位素昧平生的*小兄弟却愿与我共患难。好*兄弟，就让你我二人联手抗*敌，看看他们都有些什么本*领！"
2392,"958","＜今日众人是都冲着我来的*，怎能让这个小兄弟跟着我*无辜受牵连……＞，小兄弟*，多谢你了，接招！"
2393,"959","啊，乔兄，你……"
2394,"95A","啊……我这是在哪里啊？啊*……想起来了……乔帮主…*…乔帮主用他最后的内力把*我送出了聚贤庄，那他呢？"
2395,"95B","薛神医，你好。"
2396,"95C","阿朱姑娘好。"
2397,"95D","小兄弟，你来啦。"
2398,"95E","阿朱姑娘，乔帮主他……"
2399,"95F","你放心，乔大哥用最后的内*力救了你，本来已经到了任*人宰割的地步，谁料突然来*了一个黑衣人，武功十分高*强，救走了乔大哥。"
2400,"960","黑衣人……"
2401,"961","薛神医，谢谢你的回春妙手*，如今我已痊愈，就此告辞*。"
2402,"962","恩……这个……阿朱姑娘，*是否要去寻找乔大哥？"
2403,"963","恩，这个自然。"
2404,"964","你见到乔大哥，能否替我问*他一件事？"
2405,"965","什么事？"
2406,"966","听说十四天书中的《天龙八*部》在乔大哥身上……"
2407,"967","你……你是为了天书才帮乔*大哥的？"
2408,"968","阿朱姑娘，你太小看在下了*。在下是要夺取天书不假。*可是在下向来仰慕乔帮主的*为人，要像他一样做一个顶*天立地的男儿。如果此书确*在乔帮主身上，我会苦练武*功，与乔帮主堂堂正正的比*试一场，光明正大的获得此*书！"
2409,"969","小兄弟，乔大哥能有你这样*一位兄弟，我真替他高兴。"
2410,"96A","阿朱姑娘过奖了。乔大哥能*有你这样一位红颜知己，才*真是令人羡慕啊。"
2411,"96B","呵呵……小兄弟，我要去寻*找乔大哥了，咱们就此别过*。"
2412,"96C","好，后会有期。"
2413,"96D","这……这是我逍遥派掌门之*信物，怎会在阁下手中？"
2414,"96E","你师祖已将逍遥派掌门传给*我兄弟了……*事情是这样的……*你师父跟我们说，如果有需*要医术高明的人加入的话，*可以来这边找你。"
2415,"96F","是，少侠有什麽需要，*在下将全力配合。"
2416,"970","你的医术很高明，就加入我*的队伍，日後也能帮我们治*病疗伤。"
2417,"971","是。"
2418,"972","本帮新任帮主庄聚贤，神功*盖世，即将赶赴少林，与玄*慈方丈争夺武林盟主之位！"
2419,"973","少林寺玄慈方丈，少林派是*武林中各门派之首，丐帮是*江湖第一大帮，向来并峙中*原，不相统属。今日咱们却*要分个高下，胜者为武林盟*主，败者服从武林盟主号令*，不得有违。天下各位英雄*好汉，今日都聚集在此，有*哪一位不服，尽可向武林盟*主挑战。"
2420,"974","阿弥陀佛。丐帮数百年来，*乃中原武林的侠义正道，天*下英雄，无不瞻仰。庄帮主*新任帮主，敝派得讯迟了，*未及遣使道贺，不免有简慢*之罪，谨此谢过。却不知庄*帮主今日何以忽兴问罪之师*，还盼见告。天下英雄，俱*在此间，是非曲直，自由公*论。"
2421,"975","我大宋南有辽国，西有西夏*、吐蕃，北有大理，四夷虎*视眈眈，这个……这个……"
2422,"976","什么""南有辽国，北有大理""*，好大一个丐帮，竟由你这*种不学无术之人出任帮主，*岂不让天下英雄笑话！你要*争武林盟主是吗？不用玄慈*方丈动手，我先来领教领教*丐帮得降龙十八掌和打狗棒*法！"
2423,"977","降龙十八掌？……这个……*这个……"
2424,"978","你这是什么毒功！！身为丐*帮帮主，为什么不用降龙十*八掌？"
2425,"979","这个……这是……因为……*这个武功比降龙十八掌厉害*……"
2426,"97A","谁说这邪门毒功胜过了降龙*十八掌？"
2427,"97B","乔大哥、阿朱姑娘！"
2428,"97C","小兄弟好。今后不要再叫我*乔大哥了。我是契丹人，萧*峰！"
2429,"97D","乔也罢，萧也罢，汉人也好*，契丹也好，你始终是我的*好大哥！"
2430,"97E","哈哈哈，好兄弟！"
2431,"97F","众人：*姓乔的，你杀了我的兄长，*血仇未曾得报，今日和你拼*了！"
2432,"980","众人：*这乔峰乃契丹胡虏，人人得*而诛之，今日可再也不能容*他或者走下少室山！"
2433,"981","＜这乔峰如今已被逐出丐帮*，成为中原武林的公敌，我*正好趁此机会，收揽人心，*以为己助。＞  萧兄，你是*契丹英雄，视我中原豪杰有*如无物，区区姑苏慕容复今*日想领教阁下高招。在下死*在萧兄掌下，也算是为中原*豪杰尽了一分微力，虽死犹*荣。"
2434,"982","住口！你与萧大哥素无恩怨*，为何一再苦苦相逼！你处*心积虑，收买人心，就为了*你那虚无缥缈的皇帝梦！要*碰我大哥，先过我这一关！"
2435,"983","杀父之仇，不共戴天，姓萧*的，今日便来做个了断！"
2436,"984","尽管来吧，萧某何惧！"
2437,"985","久闻降龙十八掌天下无双，*贫僧也要领教一二。"
2438,"986","＜这萧峰武功卓绝，而且似*乎与段正淳他们交情不错，*不如今日借着人多势众，将*之除去……＞**我们也上！"
2439,"987","这萧峰乃是契丹胡虏，武林*公敌，更是我们丐帮的叛徒*，丐帮兄弟们，一起上啊！"
2440,"988","想仗着人多欺负人吗？来吧*！"
2441,"989","啊……表哥小心！……公子*手下留情啊！"
2442,"98A","哼，看在王姑娘的面子上，*今日姑且留你一命！"
2443,"98B","＜我……我今日数次惨败，*居然还要女人求情来保住性*命，我还有何颜面活在这世*上，不如干脆……＞"
2444,"98C","住手！"
2445,"98D","你有儿子没有？"
2446,"98E","我尚未婚配，何来子嗣？"
2447,"98F","你有祖宗没有？"
2448,"990","自然有！我自愿就死，与你*何干？"
2449,"991","你高祖有儿子，你曾祖、祖*父、父亲都有儿子，便是你*没儿子！嘿嘿，大燕国当年*慕容恪、慕容垂何等英雄，*却不料都变成了断种绝代的*无后之人！"
2450,"992","这……慕容复见识短绌，得*蒙高人指点迷津，大恩大德*，没齿难忘。"
2451,"993","萧大侠武功卓绝，果然名不*虚传，老夫想领教几招！"
2452,"994","不敢！请！"
2453,"995","哈哈哈……"
2454,"996","你……"
2455,"997","你在少林寺中一躲数十年，*所为何事？"
2456,"998","我也正要问你，你在少林寺*中一躲数十年，又所为何事*？"
2457,"999","我藏身少林，是为了寻找一*些东西。"
2458,"99A","我也是为了寻找一些东西，*我想找得东西已经找到，我*想你要找的东西也已经找到*了，否则我们三次较量，该*当分出了高下。"
2459,"99B","不错，尊驾武功了得，你我*互相钦服，不用再较量了。"
2460,"99C","甚好！"
2461,"99D","＜这个声音……不正是那日*救我出聚贤庄的黑衣人吗？*……＞ **恩公，请受萧峰一拜！"
2462,"99E","恩公？哈哈哈，你再仔细看*看我！"
2463,"99F","你……你是我爹爹……"
2464,"9A0","好孩儿，好孩儿，我正是你*爹爹。咱爷俩一般的身形相*貌。不用记认，谁都知道我*是你的老子。那日雁门关外*，中原豪杰不问情由，便杀*了你不会武功的妈妈。孩儿*，你说此仇该不该报？"
2465,"9A1","杀母之仇，不共戴天，焉可*不报？智光大师、谭公、谭*婆、赵钱孙等人皆已死于非*命，可是孩儿至今不知那位*带头大哥是谁。"
2466,"9A2","那些人都是我杀的！*那个带头大哥就在少室山！"
2467,"9A3","是谁？"
2468,"9A4","萧老施主，雁门关外一役，*老衲铸成大错。众家兄弟为*老衲包涵此事，又一一送命*。老衲今日再死，实在已经*晚了。**慕容博慕容老施主，*当日你假传音讯，说道契丹*武士要大举来少林寺夺取武*学典籍，以致酿成种种大错*，你可也曾有丝毫内疚于心*吗？"
2469,"9A5","方丈大师，你眼光好生厉害*，居然将我认了出来"
2470,"9A6","爹爹，你……你没有……"
2471,"9A7","慕容老施主，老衲今日听你*对令郎的劝导言语，才知你*姑苏慕容氏竟是帝王之裔，*所谋者大。那么你假传音讯*的用意，也就明白不过了。*只是你所图谋的大事，却也*终究难成，那不是枉自害死*了这许多无辜的性命么？"
2472,"9A8","谋事在人，成事在天！"
2473,"9A9","慕容老贼，原来你才是罪魁*祸首，上来领死吧！"
2474,"9AA","哈哈哈，恕不奉陪！"
2475,"9AB","想跑？追！"
2476,"9AC","追！"
2477,"9AD","爹爹……"
2478,"9AE","恩……他们竟然跑向了少林*的藏经阁，我得过去看看"
2479,"9AF","＜这老和尚是何方神圣？竟*然能降服萧远山和慕容博两*位老英雄？＞"
2480,"9B0","你二人由生到死、由死到生*地走了一遍，心中还有什么*放不下？倘若适才就此死了*，还有什么兴复大燕、报复*妻仇的念头？"
2481,"9B1","弟子生平杀人，无虑百数，*倘若被我所杀之人的眷属皆*来向我复仇索命，弟子虽死*百次，亦自不足。"
2482,"9B2","你呢？"
2483,"9B3","庶民如尘土，帝王亦如尘土*。大燕不复国是空，复国亦*是空。"
2484,"9B4","大彻大悟，善哉善哉，你二*人这就随我去吧。"
2485,"9B5","好兄弟，你是个顶天立地的*好男儿，我知道你在寻找《*天龙八部》一书，此书我今*日就赠送与你。"
2486,"9B6","多谢大哥。不知大哥今后有*何打算？"
2487,"9B7","我会与阿朱去塞外。塞外牛羊，绝不是空许约！"
2488,"9B8","大哥，你待我真好。"
2489,"9B9","这降龙十八掌乃天下至刚的*掌法，我不想此掌法从此失*传，今日也一并传给你吧。*希望你将此掌法用于正途，*发扬光大。"
2490,"9BA","多谢大哥。大哥教诲，小弟*紧记在心。"
2491,"9BB","阿朱，我们走吧。兄弟，日*后有缘，也许还有相见之日*。告辞了。"
2492,"9BC","王姑娘，段公子，你们还在*这啊？"
2493,"9BD","我……我在等我表哥……"
2494,"9BE","我要陪着王姑娘。"
2495,"9BF","王姑娘一心想着慕容公子，*可是慕容公子的心里只有复*兴大燕。段公子一心想着王*姑娘，可是王姑娘的心里却*只有慕容公子。唉……"
2496,"9C0","这……我表哥他……"
2497,"9C1","王姑娘，我会帮你劝慕容公*子，让他回心转意的。"
2498,"9C2","段公子，你……你对我真好*……*这位少侠说的对，我表*哥心里只有复兴大燕，根本*没有我。段公子，我以前一*直待你不好，你……还愿意*接受我吗？"
2499,"9C3","愿意愿意，只要能让你开心*，我什么都愿意。"
2500,"9C4","我总听你说，有个石像和我*一模一样，你能带我去看看*吗？"
2501,"9C5","好啊好啊，我们这就走。少*侠，多谢你了，后会有期。"
2502,"9C6","段公子好，王姑娘好。恭喜*段公子终于虏获美人心。"
2503,"9C7","呵呵，这都多亏了少侠的帮*忙啊。"
2504,"9C8","哪里哪里，我不曾帮过任何*的忙，都是段公子精诚所至*，金石为开啊。但不知慕容*公子……"
2505,"9C9","我表哥他……他心里只有那*个虚无缥缈的皇帝梦……我*现在才知道，真心待我的只*有段公子一个人。"
2506,"9CA","语嫣……这位少侠帮了我们*这么多，我们也帮帮他吧。"
2507,"9CB","好啊，那我们就去小村吧"
2508,"9CC","我会与阿朱去塞外。塞外牛*羊，绝不是空许约！"
2509,"9CD","小娟，你怎么还不来呢？"
2510,"9CE","前辈，你在等人吗？"
2511,"9CF","小子，你来得正好，帮我去*问问小娟，什么时候来和我*相会"
2512,"9D0","我该不该去呢？"
2513,"9D1","这位前辈在为何事烦恼？"
2514,"9D2","唉，我嫁给了谭公，可是我*那师兄始终对我一往情深，*如今他来找我，你说我应该*出去和她相会吗？"
2515,"9D3","前辈既已嫁为人妇，理应恪*守妇道，不该再有私情，否*则怎对得起谭公呢？"
2516,"9D4","你说得对啊……"
2517,"9D5","好小子，说得有道理。这是*我钓鱼的秘方，就送给你吧*。"
2518,"9D6","既然这位赵钱孙先生对您一*往情深，在外苦苦守候，你*还是应该出去见他一面。"
2519,"9D7","你说得对啊……"
2520,"9D8","哼……"
2521,"9D9","你说得对啊……"
2522,"9DA","好小子，说得有道理"
2523,"9DB","臭小子胡说八道，快滚出我*的冲霄洞！"
2524,"9DC","多谢小兄弟帮忙，这个谢礼*收下吧"
2525,"9DD","多谢小兄弟帮忙"
2526,"9DE","你这小混蛋……"
2527,"9DF","阿弥陀佛，施主当慈悲为怀*。"
2528,"9E0","施主能够扶危济困，善哉善*哉。这本刀谱就赠与施主，*望施主用于正途。"
2529,"9E1","多谢大师。"
2530,"9E2","乔峰，你看这是什麽？"
2531,"9E3","是什麽？"
2532,"9E4","你看了便知道。"
2533,"9E5","这……这是真的吗？"
2534,"9E6","少林方丈亲笔写的，会是假*的吗！"
2535,"9E7","我今日请来了智光大师、谭*公、谭婆、赵钱孙等人，他*们都可以作证。"
2536,"9E8","我……我……*我不是汉人…………*我是契丹人…………"
2537,"9E9","乔峰，你是契丹人，非我族*类，其心必异，怎可担任这*丐帮帮主一职，保管《天龙*八部》一书呢！"
2538,"9EA","你要我怎麽做！"
2539,"9EB","辞去丐帮帮主之位，*交出《天龙八部》一书。"
2540,"9EC","好！我今天就辞去这丐帮帮*主之位，《天龙八部》一书*你拿去吧。"
2541,"9ED","得来真是全不费功夫。"
2542,"9EE","阁下来此，揭发乔峰的真实*身份，让我丐帮不致误奉一*契丹人为帮主，很是感激。"
2543,"9EF","没什麽，这是中原武林的大*事，小弟应该做的。"
2544,"9F0","但是，拜你所赐，我丐帮也*将因此事贻笑武林。你拿的*《天龙八部》是丐帮镇帮之*宝，还请阁下留下。"
2545,"9F1","怎麽可以，我好不容易才拿*到手的。"
2546,"9F2","那只好得罪了。"
2547,"9F3","阁下对丐帮的""大恩大德""全*武林的叫化子都会记得的。"
2548,"9F4","哈哈哈，恭喜少侠如愿以偿*得到天书。"
2549,"9F5","哪里哪里，多亏慕容公子鼎*力相助"
2550,"9F6","我这就回燕子坞，兄弟如果*有需要我帮忙的地方，尽可*去燕子坞找我"
2551,"9F7","慕容公子，别来无恙？"
2552,"9F8","少侠今日来燕子坞，不知有*何指教？"
2553,"9F9","没事，随便逛逛……"
2554,"9FA","不敢不敢，在下最近旅途颇*有不顺，想请慕容公子帮忙*。"
2555,"9FB","＜这小子很有利用价值，帮*帮他不会有坏处＞，哈哈，*好说好说"
2556,"9FC","王姑娘好。"
2557,"9FD","公子好。"
2558,"9FE","王姑娘学识渊博，我想请王*姑娘助我一臂之力。"
2559,"9FF","好，我正想和表哥在一起。"
2560,"A00","嘿嘿嘿嘿……"
2561,"A01","嘿嘿，我叫何师我。"
2562,"A02","咦，你手上拿的是什么？"
2563,"A03","这个，是我讨饭用的……"
2564,"A04","这，这明明是丐帮丢失的打狗棒……"
2565,"A05","哼，居然被你发现了，你待*怎样？"
2566,"A06","大胆狂徒，还不将宝物归还*丐帮！"
2567,"A07","小子，你找死。"
2568,"A08","这事与我无关，我才懒得理*。"
2569,"A09","这个，道不同不相为谋。"
2570,"A0A","哈哈，原来阁下也看上了这*丐帮帮主之位。少侠在江湖*上早已英名远播，呵呵，在*下愿意跟随少侠。"
2571,"A0B","乔帮主临走的时候，留下了*打狗棒，怎么不见了？"
2572,"A0C","这，这不就是打狗棒吗！怎*会在阁下手上？"
2573,"A0D","这是我无意中所得，既是贵*帮之物，自当奉还。"
2574,"A0E","公子宅心仁厚，丐帮上下感*激大恩。"
2575,"A0F","现在这位庄少侠已经连胜十*场，若再无人挑战，则……"
2576,"A10","谁说无人挑战？"
2577,"A11","哦，你，你不就是……"
2578,"A12","姓名不重要，你们看这是什*么？"
2579,"A13","啊，打狗棒，怎么会在你手*上？"
2580,"A14","我有打狗棒在手，自然是下*一任帮主。"
2581,"A15","你也要当帮主，先胜过我再*说！"
2582,"A16","怎么样，这帮主之位舍我其*谁？"
2583,"A17","好大的口气，现问过我们再*说！"
2584,"A18","哈哈，这回没人反对了吧？"
2585,"A19","……***这位少侠武功盖世，自*是丐帮下一代帮主，这是丐*帮历代相传的打狗棒法。"
2586,"A1A","嘿嘿，我就是为它而来的！"
2587,"A1B","参见帮主！"
2588,"A1C","阿紫姑娘，跟我一起出去玩*吧？"
2589,"A1D","好啊好啊，整天呆在丐帮，*闷也闷死了。铁丑，咱们去*小村。"
2590,"A1E","我要陪着阿紫姑娘。"
2591,"A1F","佛祖啊，我找不到回少林的*路了，请您指引我一条明路*吧。"
2592,"A20","小和尚，不如我送你回少林*吧。"
2593,"A21","哇哇哇，佛祖显灵了……"
2594,"A22","施主眼中充满戾气，恐入魔*道，小僧知道，这一定是佛*祖对我的考验，阿弥陀佛，*小僧不能与你同行。"
2595,"A23","师傅说的没错，佛祖真是灵*验啊，阿弥陀佛。"
2596,"A24","阿弥陀佛，你队伍已满，我无法加入。"
2597,"A25","那你就去小村等我吧"
2598,"A26","阿弥陀佛，小僧不知道去小*村的路。"
2599,"A27","谢谢施主送我回少林，我这*就去了。佛祖曾经对我说，*如果有人送我回少林，那这*个人就是个好人，因为他放*弃了小无相功、天山六阳掌*、天山折梅手、八荒六合功*等武功，因此佛祖要给这个*人加上十点道德。施主，你*真是个好人，再会。"
2600,"A28","老先生，怎麽一个人坐在这*下棋，这棋一个人下的起来*吗？"
2601,"A29","小兄弟，难道你对我这""珍*珑""也有兴趣？"
2602,"A2A","""珍珑""？这盘局很难解吗？"
2603,"A2B","这个珍珑棋局乃先师所设。*先师当年穷三年之心血，这*才布成，深盼当世棋道中的*知心之士，予以破解。*老朽三十年来苦加钻研，皆*未能参解得透。*精通禅理之人，自知禅宗要*旨，在於""顿悟""。穷年累*月的苦功，未必能及具有宿*根慧心之人的一见即悟。*棋道也是一般，才气横溢的*八九岁小儿，棋枰上往往能*胜一流高手。虽然老朽参研*不透，但天下才士甚众，未*必都破解不得。*先师当年留下了这个心愿，*倘若有人破解开了，完了先*师这个心愿，先师虽已不在*人世，泉下有知，也必大感*欣慰。"
2604,"A2C","可惜晚辈棋力不佳，否则我*倒也想试一试。"
2605,"A2D","这棋原是极难，棋力不弱之*人，若解不开甚至有可能走*火入魔。公子不勉强自己，*也好。"
2606,"A2E","晚辈棋力不佳，不过我玩玩*看好了。"
2607,"A2F","公子请。"
2608,"A30","嗯。。。前去无路，後有追*兵，正也不是，邪也不是，*那可难也！。。。*＜咦，棋局上的白子黑子似*乎都化做了各派高手，东一*堆使剑，西一堆使拳，你围*住我，我围住你，互相纠缠*不清的厮杀。。。。。。。*我方白色的人马被黑色各派*高手给围住了，左冲右突，*始终杀不出重围。。。。＞**难道我天命已尽，一切枉费*心机了。我这样努力的找寻*""十四天书""，终究要化作*一场梦！*时也命也，夫复何言？*我不如死了算了。"
2609,"A31","不可如此！*＜大哥似乎入魔障了，怎麽*办？*有了，我解不开这棋局，但*捣乱一番，让他心神一分，*便有救了。。。。。。。＞*我来解这棋局。*嗯！就下在这里好了。"
2610,"A32","胡闹，胡闹，你自填一气，*自己杀死一块白棋，那有这*等的下法。"
2611,"A33","咦！难道竟是这样？*前辈你看，白棋故意挤死了*一大块後，接下来就好下多*了。"
2612,"A34","这。。这。。。*这""珍珑""竟然解了，原来*关键在於第一着的怪棋。*这局棋原本纠缠於得失胜败*之中，以至无可破解，小和*尚这一着不着意於生死，更*不着意於胜败，反而勘破了*生死，得到解脱。。。。。"
2613,"A35","小僧棋艺低劣，胡乱下子，*志在救人。。"
2614,"A36","贤弟误打误撞，反而收其效*果。"
2615,"A37","神僧天赋英才，可喜可贺。*请入屋内。"
2616,"A38","小和尚，你体内已没有半分*少林内力，而我七十年的逍*遥派内功也尽数传给了你，*你已经对我磕过了头，难道*就不肯叫我一声师父吗？"
2617,"A39","师……师父……"
2618,"A3A","好。这是我逍遥派的掌门指*环，今日传给你，你要替我*杀了我们逍遥派的大仇人，*恶贼星宿老怪丁春秋！"
2619,"A3B","我听说那丁……丁施主……*是个恶人，但是武功高强，*小和尚本领低微，恐怕……"
2620,"A3C","你体内已有我七十年的内功*，难道还怕那丁春秋不成！*你的武功招式不行，这是我*们逍遥派的武功秘笈，你拿*去学学吧。另外，我还有两*个师妹……"
2621,"A3D","哦……*老前辈、老前辈，你怎么了*……"
2622,"A3E","奇怪，怎麽进去这麽久．．*我也进去看看好了．"
2623,"A3F","逍遥派不肖弟子苏星河，拜*见本派新任掌门．"
2624,"A40","老前辈行此大礼，*可折杀小僧了．"
2625,"A41","师弟，你是我师父的关门弟*子，又是本派掌门．我虽是*师兄，却也要向你磕头！"
2626,"A42","这个．．这个．．．"
2627,"A43","师弟，你真是福泽深厚．我*和丁春秋想这宝石指环，想*了几十年，始终都无法到手*，你却在一个时辰之内，便*受到师父的垂青．"
2628,"A44","前辈拿去便是．这只指环，*小僧半点用处也没有．"
2629,"A45","师弟，你受师父临死时的重*托，岂能推卸责任？**师父将指环交给你，是叫你*除灭丁春秋那厮，是不是？"
2630,"A46","正是．但小僧功行浅薄，*怎能当此重任？"
2631,"A47","苏前辈，这是怎麽回事？"
2632,"A48","事情是这样子的．*本派乃逍遥派，师父收了我*和丁春秋两个弟子．*我师父有个规矩，因他所学　*甚杂，谁要做掌门，各种本　*事都要比试，不但比武，还　*得比琴棋书画．*但丁春秋於各种杂学一窍不*通，眼见掌门人无望，竟忽*施暗算将师父打落深谷，又*将我打得重伤．"
2633,"A49","这人真是可恶．"
2634,"A4A","後来师父趁机诈死，*又设下了这个棋局，*想藉此找出悟性高的人．*立他为掌门，并传他功力，*将来好除去丁春秋这恶贼．**今天，我们终於出现了能破*解此珍珑的人，师父在传完*他功力後也仙逝了．*掌门师弟，我逍遥派的门户*就靠你清理了．"
2635,"A4B","我是误打误撞的，并没有什*麽悟性．更何况我是少林弟*子，怎能改投别派．"
2636,"A4C","贤弟，这位老前辈因为要传*你毕生功力而逝去，你还忍*心拒绝人家吗．况且，那丁*春秋也是个无恶不作，罪无*可赦的恶徒呀．"
2637,"A4D","．．．．．．．"
2638,"A4E","好，我看就这样了．*苏前辈，我们会去找那星宿*老怪，杀了他替你师父报仇"
2639,"A4F","老朽谢谢这位少侠的帮忙．***掌门师弟，此去路上一切要*小心，丁春秋那老贼行事卑*鄙．．．．*对了，我有一个徒弟医术高*明，人称”阎王敌”的薛神*医，你可以去找他帮忙．*见到他时只要出示掌门信物*的”七宝指环”即可．"
2640,"A50","前辈，还在研究棋奕啊？"
2641,"A51","唉！老朽就是容易沉迷於棋*奕，武功才不如丁春秋，而*被他打得武功全失．"
2642,"A52","前辈别担心，我们一定会替*你报仇的．"
2643,"A53"," 师父，你老人家安好．"
2644,"A54","慕华，你要尽力帮助他们．*知道吗．"
2645,"A55"," 师父，我知道．"
2646,"A56","前辈别担心，我们一定会替*你报仇的．"
2647,"A57","贤弟，我们走了吧．"
2648,"A58","天下武林，都是源出於我星*宿一派，只有星宿派的武功*才是真正正统，此外尽是邪*魔歪道．"
2649,"A59","星宿老仙，德配天地，威震*寰宇，古今无比．"
2650,"A5A","本派的理念是——*“不想当掌门的弟子不是好*弟子！”"
2651,"A5B","本门的马屁，法螺，厚颜三*门神功是很难修习的．*寻常人於世俗之见沾染甚深*总觉得有些事是好的，有些*事是坏的．*只要心中存了这种无聊的善*恶之念，是非之分，要修习*厚颜功便是事倍功半，往往*在紧要关头，功亏一篑．"
2652,"A5C","你若想在本门中混下去，最*重要的秘诀，自然是将师父*奉若神明，他老人家便放个*屁，当然也是香的．更须大*声吸，小声呼的衷心赞颂．"
